Sputum_Number
EMPTY2
EMPTY3
EMPTY4
EMPTY5
EMPTY6
PCRWATERA
PCRWATERB
PCRWATERC
PCRWATERD
RC
WATER-A-TD-101515
WATER-B-TD-101515
WATERB-02172016
WATERA
RC4
TDWATERD-060216
RC5
WATERC081616
BLANK-D-H11
BLANK-D-H12
PCRWATER-C
PCRWATER-D
RC06-19-17
RC06-23-17
RC7-10-17
RC08-23-17
RC08-25-17
RC08-30-17
RC08-30-17-2
RC09-22-17
R112216
GD-1
GD-2
GD-3
GD-4
ZYMOMOCKA
ZYMOMOCKB
ZYMOMOCKC
ZYMOMOCKD
SP434
MOCK6
SP434231
SP434232
MOCK231
MOCK232
MOCK-A-TD-101515
MOCK-B-TD-101515
SP434241
SP434242
MOCK241
MOCK242
MOCKA-02172016
MOCKB-02172016
SP434254
MOCK254
TDMOCKD-060216
MOCKC081616
ZYMOMOCK-C
ZYMOMOCK-D
