30: 	0.212131
32: 	0.169497
24: 	0.161758
15: 	0.119706
16: 	0.090699
14: 	0.081026
18: 	0.056539
19: 	0.053105
9: 	0.051490
2: 	0.041569
21: 	0.033778
8: 	0.032135
10: 	0.029573
6: 	0.028741
37: 	0.026137
138: 	0.026137
61: 	0.026029
1: 	0.024688
29: 	0.023991
148: 	0.023888
144: 	0.023083
27: 	0.021055
116: 	0.019789
123: 	0.019688
22: 	0.019454
62: 	0.019300
87: 	0.019023
81: 	0.018662
113: 	0.018065
42: 	0.017797
167: 	0.017143
12: 	0.017010
23: 	0.016584
20: 	0.016336
31: 	0.016130
33: 	0.015562
171: 	0.015406
86: 	0.014809
68: 	0.014657
3: 	0.014082
128: 	0.011879
98: 	0.011855
47: 	0.011642
96: 	0.011588
50: 	0.011565
71: 	0.011061
66: 	0.010653
140: 	0.010653
28: 	0.010499
127: 	0.010198
154: 	0.010106
55: 	0.009936
139: 	0.009854
142: 	0.009840
111: 	0.009648
49: 	0.009568
56: 	0.009568
141: 	0.009568
147: 	0.009568
155: 	0.009568
181: 	0.009568
182: 	0.009568
11: 	0.009084
48: 	0.008701
46: 	0.008092
115: 	0.007939
39: 	0.007896
43: 	0.007756
151: 	0.007403
134: 	0.007202
92: 	0.007140
40: 	0.007037
78: 	0.007026
143: 	0.007026
176: 	0.007026
77: 	0.006909
64: 	0.006839
72: 	0.006830
5: 	0.006590
109: 	0.006541
26: 	0.006285
36: 	0.006099
94: 	0.005949
110: 	0.005859
132: 	0.005562
4: 	0.005245
90: 	0.005217
76: 	0.005214
126: 	0.005214
137: 	0.005118
125: 	0.005013
145: 	0.004759
58: 	0.004651
83: 	0.004651
136: 	0.004651
152: 	0.004651
153: 	0.004651
161: 	0.004651
170: 	0.004651
69: 	0.004632
93: 	0.004632
7: 	0.004602
180: 	0.004470
112: 	0.004426
106: 	0.004424
175: 	0.004339
162: 	0.004180
168: 	0.004180
169: 	0.004180
60: 	0.004093
13: 	0.003999
74: 	0.003897
99: 	0.003834
59: 	0.003768
157: 	0.003698
70: 	0.003487
65: 	0.003388
114: 	0.003388
53: 	0.003325
117: 	0.003325
103: 	0.003052
57: 	0.003015
121: 	0.003015
80: 	0.002668
84: 	0.002593
97: 	0.002570
25: 	0.002563
100: 	0.002479
102: 	0.002359
54: 	0.002333
41: 	0.002309
44: 	0.002309
63: 	0.002309
67: 	0.002309
150: 	0.002309
156: 	0.002309
159: 	0.002309
163: 	0.002309
166: 	0.002309
173: 	0.002309
178: 	0.002309
184: 	0.002309
185: 	0.002309
45: 	0.002275
104: 	0.002275
105: 	0.002064
164: 	0.001931
158: 	0.001829
179: 	0.001771
91: 	0.001663
89: 	0.001663
108: 	0.001659
174: 	0.001639
146: 	0.001577
82: 	0.001291
101: 	0.001291
160: 	0.001225
177: 	0.001225
131: 	0.001137
88: 	0.001116
130: 	0.000971
85: 	0.000957
75: 	0.000781
79: 	0.000772
17: 	0.000697
73: 	0.000642
95: 	0.000642
118: 	0.000544
52: 	0.000524
129: 	0.000524
120: 	0.000402
165: 	0.000366
183: 	0.000366
135: 	0.000233
38: 	0.000167
107: 	0.000167
119: 	0.000096
51: 	0.000057
122: 	0.000057
34: 	0.000024
124: 	0.000024
35: 	0.000001
172: 	0.000001
133: 	0.000000
149: 	0.000000
