Control
TDmockD-060216
TDwaterD-060216
PCRwaterA
waterA-02172016
water-A-TD-101515
PCRwaterB
waterB-02172016
water-B-TD-101515
PCRwaterC
waterC081616
zymomockA
zymomockB
zymomockC
Zymomock-C
Zymomock-D
